species,tissueType,tissuetype_id,clusterName,celltype_id,gene_MSU,gene
Oryza_sativa,seed,PO0009095,endosperm,PO0009089,LOC_Os06g23350,Os06g0341300
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os06g26180,Os06g0366632
Oryza_sativa,seed,PO0009096,endosperm,PO0009089,LOC_Os06g30280,Os06g0498150
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os06g30370,Os06g0498800
Oryza_sativa,seed,PO0009097,endosperm,PO0009089,LOC_Os06g31060,Os06g0507100
Oryza_sativa,seed,PO0009098,endosperm,PO0009089,LOC_Os06g31070,Os06g0507200
Oryza_sativa,seed,PO0009099,endosperm,PO0009089,LOC_Os06g33490,Os06g0526466
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os06g33640,Os06g0527800
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os06g33690,Os06g0528300
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os06g36670,Os06g0562200
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os06g40870,Os06g0611300
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os06g42754,Os06g0634000
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os06g44750,Os06g0657500
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os06g44770,Os06g0658000
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os06g45540,Os06g0666100
Oryza_sativa,seed,PO0009101,endosperm,PO0009089,LOC_Os07g02920,Os07g0120500
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os07g08420,Os07g0182000
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os07g10570,Os07g0206400
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os07g10580,Os07g0206500
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os07g11310,Os07g0213600
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os07g11330,Os07g0213800
Oryza_sativa,seed,PO0009107,endosperm,PO0009089,LOC_Os07g11360,Os07g0214100
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os07g11380,Os07g0214300
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os07g11410,Os07g0214600
Oryza_sativa,seed,PO0009110,endosperm,PO0009089,LOC_Os07g11510,Os07g0215500
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os07g11630,Os07g0216600
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os07g11920,Os07g0219400
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os07g12080,Os07g0222000
Oryza_sativa,seed,PO0009112,endosperm,PO0009089,LOC_Os07g13634,Os07g0240600
Oryza_sativa,seed,PO0009113,endosperm,PO0009089,LOC_Os07g13830,Os07g0242000
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os07g15540,Os07g0259100
Oryza_sativa,seed,PO0009114,endosperm,PO0009089,LOC_Os07g20340,Os07g0298900
Oryza_sativa,seed,PO0009115,endosperm,PO0009089,LOC_Os07g23960,Os07g0421600
Oryza_sativa,seed,PO0009116,endosperm,PO0009089,LOC_Os07g29760,Os07g0480900
